title,source_title,year,doi,total_citations_wos_core
The political economy of firm emissions: Evidence from a quasi-natural experiment in China,EUROPEAN JOURNAL OF POLITICAL ECONOMY,2022,10.1016/j.ejpoleco.2022.102181,13
Determinants of Improving the Financial Security of Retired Women in Malaysia,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,2022,10.13106/jafeb.2022.vol9.no6.0011,0
"VALUATION OF EQUITY RELEASE CONTRACTS IN CZECH REPUBLIC, REPUBLIC OF POLAND AND SLOVAK REPUBLIC",PRAGUE ECONOMIC PAPERS,2020,10.18267/j.pep.743,3
Foreign Aid and HIV/AIDS in Latin America and the Caribbean: Should We Adjust the Degree of Response?,ATLANTIC ECONOMIC JOURNAL,2018,10.1007/s11293-018-9591-9,0
A multi-country health economic evaluation of highly concentrated n-3 polyunsaturated fatty acids in secondary prevention after myocardial infarction,PHARMACOECONOMICS,2006,10.2165/00019053-200624080-00005,17
The impact of minimum wages on population health: evidence from 24 OECD countries,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2017,10.1007/s10198-016-0847-5,44
Modern Infectious Diseases: Macroeconomic Impacts and Policy Responses,JOURNAL OF ECONOMIC LITERATURE,2022,10.1257/jel.20201642,62
"Population Change with Endogenous Birth and Mortality Rates, Wealth Accumulation, and Renewable Resource Change",INTERNATIONAL JOURNAL OF ECONOMIC SCIENCES,2014,,0
A possible solution to the reform of the mandatory pension system: point system and demography,PUBLIC FINANCE QUARTERLY-HUNGARY,2011,,2
"The unintended psychological and behavioral drawbacks of big push strategies: Increased psychological entitlement, selfish behavior, and decreased prosocial behavior",JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS,2022,10.1016/j.socec.2022.101842,2
Calibrating Gompertz in reverse: What is your longevity-risk-adjusted global age?,INSURANCE MATHEMATICS & ECONOMICS,2020,10.1016/j.insmatheco.2020.03.009,19
Dimensions of human capital and technological diffusion,EMPIRICAL ECONOMICS,2021,10.1007/s00181-019-01777-3,5
Optimal Liver Acceptance for Risk-Sensitive Patients,SERVICE SCIENCE,2018,10.1287/serv.2018.0215,9
ADJUSTING LIFE FOR QUALITY OR DISABILITY: STYLISTIC DIFFERENCE OR SUBSTANTIAL DISPUTE?,HEALTH ECONOMICS,2009,10.1002/hec.1424,27
Should self-employed persons subject to the statutory pay-as-you-go pension system? Welfare effects of extending compulsory insurance to include self-employed persons,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,2004,,2
Experience Prospective Life-Tables for the Algerian Retirees,RISKS,2019,10.3390/risks7020038,1
Anti-social tax practices and social economic development in Nigeria: the stakeholders' perceptions,AFRICAN JOURNAL OF ACCOUNTING AUDITING AND FINANCE,2013,10.1504/AJAAF.2013.063310,0
Monetary Valuation with Impact Pathway Analysis: Benefits of Reducing Nitrate Leaching in European Catchments,INTERNATIONAL REVIEW OF ENVIRONMENTAL AND RESOURCE ECONOMICS,2011,10.1561/101.00000042,5
Age- and health-related non-linear inheritance taxation,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,2023,10.1111/caje.12673,0
Modelling the reverse select and ultimate mortality experience of UK ill-health retirement occupational pension scheme members,ANNALS OF ACTUARIAL SCIENCE,2016,10.1017/S1748499516000063,0
"Time trade-off: one methodology, different methods",EUROPEAN JOURNAL OF HEALTH ECONOMICS,2013,10.1007/s10198-013-0508-x,109
Choosing the legal retirement age in presence of unemployment,RECHERCHES ECONOMIQUES DE LOUVAIN-LOUVAIN ECONOMIC REVIEW,2012,10.3917/rel.781.0005,1
Firm Innovation in Hazy Days: Chinese Evidence,ENVIRONMENTAL & RESOURCE ECONOMICS,2024,10.1007/s10640-024-00878-7,0
The effect of health on economic growth: a meta-regression analysis,EMPIRICAL ECONOMICS,2022,10.1007/s00181-022-02226-4,16
Dating Death: An Empirical Comparison of Medical Underwriters in the U.S. Life Settlements Market,NORTH AMERICAN ACTUARIAL JOURNAL,2020,10.1080/10920277.2019.1585881,8
Avoidance behavior against air pollution: evidence from online search indices for anti-PM<sub>2.5</sub> masks and air filters in Chinese cities,ENVIRONMENTAL ECONOMICS AND POLICY STUDIES,2018,10.1007/s10018-017-0196-3,52
Mortality of Smoking by Gender,NORTH AMERICAN ACTUARIAL JOURNAL,2015,10.1080/10920277.2015.1018389,2
ASSESSING THE IMPLICATIONS OF LONG-TERM CARE POLICIES IN ITALY: A MICROSIMULATION APPROACH,POLITICA ECONOMICA,2008,10.1429/26966,0
The role of institutions in environment-health outcomes Nexus: empirical evidence from sub-Saharan Africa,ECONOMIC CHANGE AND RESTRUCTURING,2021,10.1007/s10644-020-09299-0,15
Traditional Economy Influences on Intellectual Capital Development,MONTENEGRIN JOURNAL OF ECONOMICS,2017,10.14254/1800-5845/2017.13-1.6,2
Cost effectiveness of epoetin-α to augment preoperative autologous blood donation in elective cardiac surgery,PHARMACOECONOMICS,2000,10.2165/00019053-200018020-00006,28
Wealthier is healthier? Healthier is wealthier? A comprehensive econometric analysis of the European countries,ACTA OECONOMICA,2021,10.1556/032.2021.00019,1
Energy poverty and public health: Global evidence,ENERGY ECONOMICS,2021,10.1016/j.eneco.2021.105423,93
AS THE WIND BLOWS: THE EFFECTS OF LONG-TERM EXPOSURE TO AIR POLLUTION ON MORTALITY,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2020,10.1093/jeea/jvz051,99
EXPERIENCE OF EUROPEAN PENSION SYSTEMS REFORMING AND THE POSSIBILITY OF ITS USE IN THE RUSSIAN FEDERATION,VESTNIK SANKT-PETERBURGSKOGO UNIVERSITETA-EKONOMIKA-ST PETERSBURG,2017,10.21638/11701/spbu05.2017.307,1
No theory: an explanation of the lack of consistency in cross-country health care comparisons using non-parametric estimators,HEALTH ECONOMICS REVIEW,2016,10.1186/s13561-016-0118-2,6
MANAGEMENT OF THE SPORTS INDUSTRY FOR ENSURING THE PUBLIC HEALTH: PROSPECT OF IMPLEMENTING THE INNOVATIONS,MARKETING AND MANAGEMENT OF INNOVATIONS,2022,10.21272/mmi.2022.4-11,0
Be nice to the air: Severe haze pollution and mutual fund risk,GLOBAL FINANCE JOURNAL,2023,10.1016/j.gfj.2023.100893,3
Optimizing Pension Participation in Kenya through Predictive Modeling: A Comparative Analysis of Tree-Based Machine Learning Algorithms and Logistic Regression Classifier,RISKS,2023,10.3390/risks11040077,0
THE IMPACT OF HEALTHCARE AVAILABILITY ON THE AMENABLE MORTALITY: COUNTRY STUDY,ECONOMICS & SOCIOLOGY,2019,10.14254/2071-789X.2019/12-3/16,5
The Importance of Implementing Environmental Variables in the Process of Assessment of Healthcare Efficiency through DEA<SUP>1</SUP>,EKONOMICKY CASOPIS,2019,,12
The Effect of Health on Economic Growth: A Production Function Approach for Turkey,PANOECONOMICUS,2024,10.2298/PAN210411005A,1
"Monitoring Technologies, Environmental Performance, and Health Outcomes: Evidence from China",JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,2023,10.1086/725111,1
Growth and welfare in mixed health system financing with physician dual practice in a developing economy: a case of Indonesia,INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,2021,10.1007/s10754-020-09289-9,1
Forecasting the cost of US Health Care in 2040,JOURNAL OF POLICY MODELING,2009,10.1016/j.jpolmod.2009.05.004,16
Does air pollution affect earnings management? Evidence from China,PACIFIC-BASIN FINANCE JOURNAL,2022,10.1016/j.pacfin.2022.101737,24
A THEORY OF ECONOMIC DEVELOPMENT WITH ENDOGENOUS FERTILITY,MACROECONOMIC DYNAMICS,2012,10.1017/S1365100510000842,4
Demographic structure and economic growth: Evidence from China,JOURNAL OF COMPARATIVE ECONOMICS,2010,10.1016/j.jce.2010.08.002,53
"Demographic changes, labor effort and economic growth - Empirical evidence from Greece",JOURNAL OF POLICY MODELING,2001,10.1016/S0161-8938(00)00037-5,18
QALYs and ageism: Philosophical theories and age weighting,HEALTH ECONOMICS,2000,10.1002/(SICI)1099-1050(200001)9:1<57::AID-HEC484>3.0.CO;2-N,69
Contaminated Heart: Does Air Pollution Harm Business Ethics? Evidence from Earnings Manipulation,JOURNAL OF BUSINESS ETHICS,2022,10.1007/s10551-021-04762-y,21
"Swimming with wealthy sharks: longevity, volatility and the value of risk pooling",JOURNAL OF PENSION ECONOMICS & FINANCE,2020,10.1017/S1474747219000040,6
Airports and ageing passengers: A study of the UK,RESEARCH IN TRANSPORTATION BUSINESS AND MANAGEMENT,2019,10.1016/j.rtbm.2019.100380,14
Decreasing term structure of psychological discount rates: Experimental estimation and determinants,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,2015,10.1016/j.jbef.2015.02.006,1
The contribution of population health and demographic change to economic growth in China and India,JOURNAL OF COMPARATIVE ECONOMICS,2010,10.1016/j.jce.2009.11.002,81
Impacts of the desulfurization price subsidy policy on SO<sub>2</sub> reduction: Evidence from China's coal-fired power plants,ENERGY POLICY,2021,10.1016/j.enpol.2021.112477,19
The effects of recent Spanish pension reforms on sustainability and pension adequacy,APPLIED ECONOMICS,2018,10.1080/00036846.2017.1400650,5
Population health and the economy: Mortality and the Great Recession in Europe,HEALTH ECONOMICS,2017,10.1002/hec.3495,58
Economic Evaluation of Cinacalcet in the Treatment of Secondary Hyperparathyroidism in Italy,PHARMACOECONOMICS,2010,10.2165/11538600-000000000-00000,18
"Fine-particulate air pollution and behaviorally inclusive mortality impacts of China's winter heating policy, 2013-2018",JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2024,10.1016/j.jeem.2024.102945,4
"ENDOGENOUS DEMOGRAPHIC CHANGE, RETIREMENT, AND SOCIAL SECURITY",MACROECONOMIC DYNAMICS,2021,10.1017/S1365100519000269,13
Individual survival curves comparing subjective and observed mortality risks,HEALTH ECONOMICS,2017,10.1002/hec.3506,18
Do Managers of US Defined Benefit Pension Plan Sponsors Use Regulatory Freedom Strategically?,JOURNAL OF ACCOUNTING RESEARCH,2017,10.1111/1475-679X.12182,14
RETURNS PAID TO EARLY SOCIAL-SECURITY COHORTS,CONTEMPORARY POLICY ISSUES,1993,10.1111/j.1465-7287.1993.tb00396.x,15
<i>Cogito ergo sum</i>: exploring epistemological options for strategic management,JOURNAL OF MANAGEMENT DEVELOPMENT,2009,10.1108/02621710910923845,11
The Moderating Effect of Mental Health in Familiarity Bias and Self-Attribution of Financial Planning Behaviour among Malaysians,ESTUDIOS DE ECONOMIA APLICADA,2021,10.25115/eea.v39i4.4567,0
Pharmaceutical expenditure and gross domestic product: Evidence of simultaneous effects using a two-step instrumental variables strategy,HEALTH ECONOMICS,2019,10.1002/hec.3832,6
Energy related public environmental concerns and intra-firm pay gap in polluting enterprises: Evidence from China,ENERGY ECONOMICS,2024,10.1016/j.eneco.2024.107320,10
What Motivates Social Security Claiming Age Intentions? Testing Behaviorally Informed Interventions Alongside Individual Differences,JOURNAL OF MARKETING RESEARCH,2023,10.1177/00222437221147221,0
"Women's desire for the kaleidoscope of authenticity, balance and challenge: A multi-method study of female health workers' careers",GENDER WORK AND ORGANIZATION,2019,10.1111/gwao.12317,18
From <i>Bismarck</i> to <i>Beveridge</i>: the other pension reform in Spain,SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION,2016,10.1007/s13209-016-0148-3,12
THE EFFECT OF SECOND PILLAR PENSION TO OLD AGE PENSION: LITHUANIAN CASE,INTERNATIONAL JOURNAL OF ECONOMIC SCIENCES,2016,10.20472/ES.2016.5.4.002,0
"Convergence of body mass with aging: The longitudinal interrelationship of health, weight, and survival",ECONOMICS & HUMAN BIOLOGY,2008,10.1016/j.ehb.2008.06.006,3
Enhancing human development in developing regions: Do ICT and transport infrastructure matter?,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2022,10.1016/j.techfore.2022.121725,25
The costs of hazardous alcohol consumption in Germany,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2017,10.1007/s10198-016-0822-1,16
HIV/AIDS-related Expectations and Risky Sexual Behaviour in Malawi,REVIEW OF ECONOMIC STUDIES,2016,10.1093/restud/rdv028,32
Estimating the technical efficiency of health care systems: A cross-country comparison using the directional distance function,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,2014,10.1016/j.ejor.2014.05.007,87
Building Distributed E-Healthcare for Elderly Using RFID and Multi-Agent,INTERNATIONAL JOURNAL OF ENGINEERING BUSINESS MANAGEMENT,2011,,8
Adult mortality in Russia,ECONOMICS OF TRANSITION,2010,10.1111/j.1468-0351.2009.00384.x,25
Population Aging and International Monetary Transmission,JOURNAL OF MONEY CREDIT AND BANKING,2024,10.1111/jmcb.13004,2
A New Fourier Approach under the Lee-Carter Model for Incorporating Time-Varying Age Patterns of Structural Changes,RISKS,2022,10.3390/risks10080147,0
Direct impact of inflow of foreign direct investment on poverty reduction in Pakistan: a bonds testing approach,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,2019,10.1080/1331677X.2019.1670088,15
Does self-employment provide a bridge to retirement?,CAMBRIDGE JOURNAL OF ECONOMICS,2024,10.1093/cje/beae016,0
Probabilistic population forecasting: Short to very long-term,INTERNATIONAL JOURNAL OF FORECASTING,2023,10.1016/j.ijforecast.2021.09.001,23
Biased survival expectations and behaviours: Does domain specific information matter?,JOURNAL OF RISK AND UNCERTAINTY,2022,10.1007/s11166-022-09382-z,1
Estimating lifetime medical costs from censored claims data,HEALTH ECONOMICS,2017,10.1002/hec.3512,45
FOREIGN AID EFFECTIVENESS IN OIC MEMBER COUNTRIES: BEYOND ECONOMIC INDICATORS,INTERNATIONAL JOURNAL OF ECONOMICS MANAGEMENT AND ACCOUNTING,2017,,3
"Co-benefits of climate policy - lessons learned from a study in Shanxi, China",ENERGY POLICY,2004,10.1016/S0301-4215(03)00156-3,144
How will climate change affect ambient air pollution and what can policy-makers do now? Lessons from India,OXFORD REVIEW OF ECONOMIC POLICY,2023,10.1093/oxrep/grad041,0
A Critical View on Pension Savings in Slovakia,STATISTIKA-STATISTICS AND ECONOMY JOURNAL,2021,10.54694/stat.2021.11,2
Conflict-Poverty Relationship in Africa: A Disaggregated Approach,JOURNAL OF INTERDISCIPLINARY ECONOMICS,2022,10.1177/0260107920935726,14
The impact of economic growth in mortality modelling for selected OECD countries,JOURNAL OF FORECASTING,2020,10.1002/for.2640,7
Soft power and exchange rate volatility,INTERNATIONAL FINANCE,2017,10.1111/infi.12117,3
"Pension Reforms, Working Patterns and Gender Pension Gaps in Europe",GENDER WORK AND ORGANIZATION,2009,10.1111/j.1468-0432.2009.00457.x,36
"The Impact of Ageing and the Speed of Ageing on the Economic Growth of Least Developed, Emerging and Developed Countries, 1990-2013",REVIEW OF DEVELOPMENT ECONOMICS,2017,10.1111/rode.12294,19
"Stature, migration and human welfare in South China, 1850-1930",ECONOMICS & HUMAN BIOLOGY,2013,10.1016/j.ehb.2012.10.003,8
Reforming the world's largest heating system: Quasi-experimental evidence from China,ENERGY ECONOMICS,2023,10.1016/j.eneco.2022.106417,6
New Evidence of the Health Status and Economic Growth Relationship,PANOECONOMICUS,2017,10.2298/PAN150505020M,9
Cross-country differences in the contribution of future migration to old-age financing,INTERNATIONAL TAX AND PUBLIC FINANCE,2016,10.1007/s10797-016-9394-3,7
THE ACCOUNTANCY OF THE POTENTIAL INCOME LOST DUE PREMATURE DEATH: DIFFERENCES DETERMINED BY GENDER,REVISTA CONTABILIDADE E CONTROLADORIA-RC C,2009,,1
Discounting life-years: Whither time preference?,HEALTH ECONOMICS,1998,10.1002/(SICI)1099-1050(199803)7:2<121::AID-HEC318>3.0.CO;2-H,27
AN EMPIRICAL-STUDY OF OCCUPATIONAL STRESS TRANSMISSION IN WORKING COUPLES,HUMAN RELATIONS,1993,10.1177/001872679304600705,107
International Energy Law and the Development Dilemma,MANCHESTER JOURNAL OF INTERNATIONAL ECONOMIC LAW,2022,,2
An Investigation into Inequalities in Adult Lifespan,NORTH AMERICAN ACTUARIAL JOURNAL,2021,10.1080/10920277.2019.1671874,5
The Economic Cost of the Islamic Revolution and War for Iran: Synthetic Counterfactual Evidence,DEFENCE AND PEACE ECONOMICS,2022,10.1080/10242694.2020.1825314,17
INFANT HEALTH AND LONGEVITY: EVIDENCE FROM A HISTORICAL INTERVENTION IN SWEDEN,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,2017,10.1093/jeea/jvw028,41
Research and Reality: A Literature Review on Drawing Down Retirement Financial Savings,NORTH AMERICAN ACTUARIAL JOURNAL,2013,10.1080/10920277.2013.821938,26
WHY HAS THE HEALTH INEQUALITY AMONG INFANTS IN THE US DECLINED? ACCOUNTING FOR THE SHRINKING GAP,HEALTH ECONOMICS,2009,10.1002/hec.1407,19
Factors influencing the acceptance of healthcare information technologies: A meta-analysis,INFORMATION & MANAGEMENT,2022,10.1016/j.im.2022.103604,34
Has the anti-corruption campaign decreased air pollution in China?,ENERGY ECONOMICS,2020,10.1016/j.eneco.2020.104878,108
"The impact of pharmaceutical innovation on longevity and medical expenditure in France, 2000-2009",ECONOMICS & HUMAN BIOLOGY,2014,10.1016/j.ehb.2013.04.002,26
Cost effectiveness of ramipril in patients at high risk for cardiovascular events -: Economic evaluation of the HOPE (Heart Outcomes Prevention Evaluation) study for Germany from the statutory health insurance perspective,PHARMACOECONOMICS,2004,10.2165/00019053-200422150-00001,12
Life-cycle decisions and general equilibrium in the heterogeneous-agent OLG economy,APPLIED ECONOMICS,2024,10.1080/00036846.2024.2305610,1
On the short-term impact of pollution: The effect of PM 2.5 on emergency room visits,HEALTH ECONOMICS,2024,10.1002/hec.4780,1
Demographic change and the rate of return in pay-as-you-go pension systems,JOURNAL OF POPULATION ECONOMICS,2023,10.1007/s00148-023-00938-0,3
Does the demographic dividend with human capital development yield an economic dividend? Evidence from Central Asia,POST-COMMUNIST ECONOMIES,2023,10.1080/14631377.2022.2164782,2
Financial literacy and asset allocation among retired residents: evidence from China,JOURNAL OF THE ASIA PACIFIC ECONOMY,2022,10.1080/13547860.2020.1849938,12
The effect of time to death on health care expenditures: taking into account the endogeneity and right censoring of time to death,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2020,10.1007/s10198-020-01187-8,6
Affordable care encourages healthy living: Theory and evidence from China's new cooperative medical scheme,HEALTH ECONOMICS,2018,10.1002/hec.3820,10
"Aspirations, health and the cost of inequality",JOURNAL OF ECONOMIC DYNAMICS & CONTROL,2018,10.1016/j.jedc.2017.10.008,7
Retirement Ages by Socio-Economic Class,RISKS,2020,10.3390/risks8040102,1
Estimating the marginal cost of a life year in Sweden's public healthcare sector,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2019,10.1007/s10198-019-01039-0,34
INTERRELATION OF COUNTRIES' DEVELOPMENTAL LEVEL AND FOREIGN DIRECT INVESTMENTS PERFORMANCE,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,2011,10.3846/16111699.2011.599412,10
Urban mortality in Greece: Hermoupolis (1859-1940),ECONOMIC HISTORY REVIEW,2023,10.1111/ehr.13198,2
A Bibliometric Analysis of Research on Stochastic Mortality Modelling and Forecasting,RISKS,2022,10.3390/risks10100191,3
Adult mortality and urbanization: Examination of a weak connection in sub-Saharan Africa,WORLD DEVELOPMENT,2019,10.1016/j.worlddev.2019.05.019,15
Relating environmental performance with socioeconomic and cultural factors,ENVIRONMENTAL ECONOMICS AND POLICY STUDIES,2018,10.1007/s10018-017-0182-9,12
Forecasting Longevity Gains for a Population with Short Time Series Using a Structural SUTSE Model: An Application to Brazilian Annuity Plans,NORTH AMERICAN ACTUARIAL JOURNAL,2016,10.1080/10920277.2015.1061442,0
Inequality in mortality in pre-industrial southern Europe during an epidemic episode: socio-economic determinants (eighteenth-nineteenth centuries Spain),ECONOMICS & HUMAN BIOLOGY,2021,10.1016/j.ehb.2020.100941,3
Does Population Longevity Attract Foreign Direct Investments in Developing Countries?,GLOBAL BUSINESS REVIEW,2023,10.1177/0972150920915364,2
The welfare cost of late-life depression,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2022,10.1016/j.jebo.2022.10.001,3
Effects of adult mortality rate on educational attainment: empirical analysis using cross-country panel data,INTERNATIONAL JOURNAL OF ECONOMIC POLICY STUDIES,2022,10.1007/s42495-022-00081-w,2
The impact of gender inequality in education and employment on economic performance in Turkey: evidence from a cointegration approach,EQUALITY DIVERSITY AND INCLUSION,2022,10.1108/EDI-04-2021-0099,1
"Education choices, longevity and optimal policy in a Ben-Porath economy",MATHEMATICAL SOCIAL SCIENCES,2018,10.1016/j.mathsocsci.2017.10.003,6
Health State Transitions and Longevity Effects on Retirees' Optimal Annuitization,JOURNAL OF RISK AND INSURANCE,2017,10.1111/jori.12168,17
Innovative behavior and the Chinese enterprise survival risk: an empirical research,CHINA FINANCE AND ECONOMIC REVIEW,2016,10.1186/s40589-016-0044-9,8
Does happiness matter to health system efficiency? A performance analysis,HEALTH ECONOMICS REVIEW,2018,10.1186/s13561-018-0214-6,32
Demographics and real interest rates: Inspecting the mechanism,EUROPEAN ECONOMIC REVIEW,2016,10.1016/j.euroecorev.2016.04.002,136
FOREIGN DIRECT INVESTMENT PERFORMANCE DRIVERS AT THE COUNTRY LEVEL: A ROBUST COMPROMISE MULTI-CRITERIA DECISION-MAKING APPROACH,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,2024,10.3846/tede.2024.19532,2
"Act your age? Age, intrapreneurial behavior, social capital and performance",EMPLOYEE RELATIONS,2019,10.1108/ER-01-2019-0059,12
Travel motivations of seniors: A review and a meta-analytical assessment,TOURISM ECONOMICS,2016,10.1177/1354816616654257,46
Does giving to charity lead to better health? Evidence from tax subsidies for charitable giving,JOURNAL OF ECONOMIC PSYCHOLOGY,2014,10.1016/j.joep.2014.08.002,9
Declining real interest rates: The role of energy prices in energy importers,ENERGY ECONOMICS,2024,10.1016/j.eneco.2023.107226,2
The patterns and determinants of longevity in Russia's regions: Evidence from panel data,JOURNAL OF COMPARATIVE ECONOMICS,2005,10.1016/j.jce.2005.03.012,13
The impact of socio-economic indicators on COVID-19: an empirical multivariate analysis of sub-Saharan African countries,JOURNAL OF SOCIAL AND ECONOMIC DEVELOPMENT,2022,10.1007/s40847-022-00184-2,4
A DOUBLE COMMON FACTOR MODEL FOR MORTALITY PROJECTION USING BEST-PERFORMANCE MORTALITY RATES AS REFERENCE,ASTIN BULLETIN,2021,10.1017/asb.2020.44,1
About prospects of old age security system,FINANCE A UVER,1998,,0
Aging and economic growth: is there a role for a two-child policy in China?,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,2020,10.1080/1331677X.2019.1699436,15
"Intergenerational transfers, demographic transition, and altruism: Problems in developing Asia",REVIEW OF DEVELOPMENT ECONOMICS,2018,10.1111/rode.12369,4
Valuing Health at Different Ages Evidence from a Nationally Representative Survey in the US,APPLIED HEALTH ECONOMICS AND HEALTH POLICY,2011,10.2165/11587340-000000000-00000,32
A study for the stress factors of the employees and redundants in the crisis process,ISTANBUL UNIVERSITY JOURNAL OF THE SCHOOL OF BUSINESS,2010,,0
Modelling mortality: A bayesian factor-augmented var (favar) approach,ASTIN BULLETIN-THE JOURNAL OF THE INTERNATIONAL ACTUARIAL ASSOCIATION,2023,10.1017/asb.2022.24,1
Lack of Global Convergence and the Formation of Multiple Welfare Clubs across Countries: An Unsupervised Machine Learning Approach,ECONOMIES,2019,10.3390/economies7030074,2
Sustaining society with ecological capitalism,HUMAN SYSTEMS MANAGEMENT,2015,10.3233/HSM-150831,4
The health impacts of two policies regulating SO2 air pollution: Evidence from China,CHINA ECONOMIC REVIEW,2023,10.1016/j.chieco.2023.101937,11
Convergence theory and conditional income convergence among sub-Saharan African countries,AGRICULTURAL ECONOMICS,2021,10.1111/agec.12670,4
Optimal education in times of ageing: The dependency ratio in the Uzawa-Lucas growth model,JOURNAL OF THE ECONOMICS OF AGEING,2016,10.1016/j.jeoa.2016.03.001,9
Unlocking housing equity in Japan,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,2004,10.1016/j.jjie.2004.03.003,40
Will the China's carbon emissions market increase the risk-taking of its enterprises?,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,2022,10.1016/j.iref.2021.10.005,38
No Country for Old Men? Increasing the Retirement Age in the Norwegian Armed Forces,DEFENCE AND PEACE ECONOMICS,2021,10.1080/10242694.2020.1764704,5
Russia: austerity and deficit reduction in historical and comparative perspective,CAMBRIDGE JOURNAL OF ECONOMICS,2012,10.1093/cje/ber042,8
"Endogenous differential mortality, non-contractible effort and non-linear taxation",INTERNATIONAL TAX AND PUBLIC FINANCE,2011,10.1007/s10797-010-9147-7,3
"The Lee-Carter Model for Forecasting Mortality, Revisited",NORTH AMERICAN ACTUARIAL JOURNAL,2007,10.1080/10920277.2007.10597438,25
Aging and aggregate costs of medical care: conceptual and policy issues,HEALTH ECONOMICS,2004,10.1002/hec.844,20
The economic implications of population aging on current account balance,ECONOMIC ANALYSIS AND POLICY,2024,10.1016/j.eap.2024.10.053,0
Airports and air pollutions: Empirical evidence from China,TRANSPORT POLICY,2020,10.1016/j.tranpol.2020.09.007,10
Linking annuity benefits to the longevity experience: alternative solutions,ANNALS OF ACTUARIAL SCIENCE,2020,10.1017/S1748499519000137,5
THE VALUE OF A CHILD BORN IN THE EUROPEAN UNION,ACTA OECONOMICA,2018,10.1556/032.2018.68.2.6,1
Health and nutrition in Eastern Europe and the former Soviet Union during the decade of transition: A review of the literature,ECONOMICS & HUMAN BIOLOGY,2006,10.1016/j.ehb.2005.04.005,54
Differentiated agricultural sensitivity and adaptability to rising temperatures across regions and sectors in China,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,2023,10.1016/j.jeem.2023.102801,24
Gompertz law revisited: Forecasting mortality with a multi-factor exponential model,INSURANCE MATHEMATICS & ECONOMICS,2021,10.1016/j.insmatheco.2021.03.018,8
LOSERS AND WINNERS IN ECONOMIC-GROWTH,WORLD BANK ECONOMIC REVIEW,1993,,27
The pension system in China: an empirical study of the money's worth ratio of annuities,AESTIMATIO-THE IEB INTERNATIONAL JOURNAL OF FINANCE,2017,10.5605/IEB.15.2,0
Household fuel transitions have substantially contributed to child mortality reductions in China,WORLD DEVELOPMENT,2023,10.1016/j.worlddev.2022.106174,10
"Education, skill training, and lifelong learning in the era of technological revolution: a review",ASIAN-PACIFIC ECONOMIC LITERATURE,2020,10.1111/apel.12299,17
80 will be the new 70: Old-age mortality postponement in the United States and its likely effect on the finances of the OASI program,JOURNAL OF RISK AND INSURANCE,2021,10.1111/jori.12321,6
The return to education in terms of wealth and health,JOURNAL OF THE ECONOMICS OF AGEING,2018,10.1016/j.jeoa.2017.11.001,17
Social Transfer Benefits and Retirement Decisions: Evidence from South Africa,SOUTH AFRICAN JOURNAL OF ECONOMICS,2018,10.1111/saje.12180,3
Optimal Vascular Access Choice for Patients on Hemodialysis,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,2015,10.1287/msom.2015.0552,12
Egalitarian pooling and sharing of longevity risk a.k.a.<i> can</i><i> an</i><i> administrator</i> help skin the tontine cat?,INSURANCE MATHEMATICS & ECONOMICS,2024,10.1016/j.insmatheco.2024.09.003,1
The morbidity costs of air pollution through the Lens of Health Spending in China,JOURNAL OF POPULATION ECONOMICS,2023,10.1007/s00148-023-00948-y,9
The mortality risk of pensions - methods of control and policy implications for the UK,JOURNAL OF FINANCIAL REGULATION AND COMPLIANCE,2006,10.1108/13581980610711135,1
Determinants of Pension Fund's Required Return: A Scenario-based simulation of Civil Service Pension Fund,AUSTRALASIAN ACCOUNTING BUSINESS AND FINANCE JOURNAL,2023,,1
Methodological Challenges in Estimating the Lifetime Medical Care Cost Externality of Obesity,JOURNAL OF BENEFIT-COST ANALYSIS,2021,10.1017/bca.2021.6,3
