Title,Source title,Year,DOI,Cited by,term_loc
EVALUATION OF SOCIOECONOMIC ASPECTS TRIGGERING HEALTH CARE SPENDING,Journal of Governance and Regulation,2023,10.22495/jgrv12i3siart2,1,abstract
How oil sampling helps maintain a healthy compressed air system,Plant Engineering,2023,,0,abstract
Population forecasting of Hungarian regions till 2050; [A magyarországi régiók népességének előreszámítása 2050-ig],Statisztikai Szemle,2023,10.20311/stat2023.09.hu0763,2,abstract
"Impact of foreign direct investment, remittances and official development assistance on economic growth: panel data approach",PSU Research Review,2023,10.1108/PRR-04-2020-0012,35,abstract
"Influence of the food protein on the development of hypopharyngeal glands, fat body, quality and lifespan of honeybees; [Вплив протеїну корму на розвиток підглоткових залоз, жирового тіла, якість та тривалість життя медоносних бджіл]",Scientific Horizons,2023,10.48077/scihor9.2023.44,2,abstract
Core20PLUS5: His Majesty’s Prison and Probation Service – an approach to address inequities in healthcare for people in contact with the criminal justice system,BMJ Leader,2023,10.1136/leader-2023-000818,0,abstract
Specific features of using life quality assessment tools for geriatric horses: Literature review; [Особливості використання засобів оцінки якості життя геріатричного коня],Scientific Horizons,2023,10.48077/scihor.26(1).2023.121-128,4,abstract
The Effects of Residential Segregation on Black and White Mortality in the United States,Review of Black Political Economy,2024,10.1177/00346446221085487,3,author_kw
"Priests’ Mortality Rates of Different Denominations Compared to the Population: Meta-Analysis Reveals Rates Comparable to Those for Pilots, Athletes, Doctors, and Military Personnel",Religiovedenie,2023,10.22250/20728662_2023_3_67,0,abstract
Enumerating happiness index during COVID-19 lockdowns using artificial intelligence techniques,International Journal of Technology Management and Sustainable Development,2023,10.1386/tmsd_00066_1,0,abstract
Regional economic growth in Mexico: Analysis of the convergence process in the last 40 years; [Crecimiento económico regional en México: análisis del proceso de convergencia en los últimos 40 años],Contaduria y Administracion,2023,10.22201/fca.24488410e.2023.4687,0,abstract
The effect of the COVID-19 health disruptions on breast cancer mortality for older women: a semi-Markov modelling approach,Scandinavian Actuarial Journal,2024,10.1080/03461238.2024.2340964,6,abstract
Long-Term Cost-Effectiveness of Continuous Glucose Monitoring Versus Self-Monitoring of Blood Glucose in Adults With Type 1 Diabetes in Iran,Value in Health Regional Issues,2024,10.1016/j.vhri.2024.101002,1,abstract
Bioactive Anti-Aging Substances: Geroprotectors; [Биоактивные вещества геропротекторной направленности],Food Processing: Techniques and Technology,2024,10.21603/2074-9414-2024-2-2517,7,abstract
Psychiatric Morbidity Among Older Hospitalized Patients,Materia Socio-Medica,2023,10.5455/msm.2023.35.275-279,0,abstract
FATIGUE DETERMINATION OF THE KENAF/PLA COMPOSITE STRUCTURE USING FATIGUE SPECIMEN (ASTM D7791): A COMPUTATIONAL ANALYSIS,Eastern-European Journal of Enterprise Technologies,2023,10.15587/1729-4061.2023.273974,1,abstract
ENVIRONMENTAL DYNAMICS IN THE CASE OF SAUDI ARABIA: IS THERE A TRADE-OFF BETWEEN GROWTH CONSTRAINTS AND ECOLOGICAL DIMENSIONS?,Journal of Energy and Development,2024,10.56476/jed.v49i1.18,2,abstract
Impacting life expectancies of incarcerated people through dialogic scientific gatherings and dialogic scientific workshops in prisons,Humanities and Social Sciences Communications,2024,10.1057/s41599-024-02844-6,3,title
Socio-Economic Indicators and their Impact on Sustainable Economic Development: An In-depth Analysis of Egypt,International Journal of Economics and Financial Issues,2024,10.32479/ijefi.16016,6,abstract
"Urbanization moderates the transitional linkages between energy resource use, greenhouse gas emissions, socio-economic and human development: Insights from subnational analyses in China",Journal of Cleaner Production,2024,10.1016/j.jclepro.2024.143776,15,abstract
The influence of future time perspective on older adults’ travel intention,Current Issues in Tourism,2023,10.1080/13683500.2022.2051448,17,abstract
The effect of hepatitis C—associated premature deaths on labour productivity losses in Spain: a ten-year analysis,European Journal of Health Economics,2023,10.1007/s10198-022-01540-z,4,INDEX_KW_ONLY
Quality of life and health in older adults: a bibliographic review; [Envejecimiento y calidad de vida en el adulto mayor: una revisión bibliográfica],Health Leadership and Quality of Life,2024,10.56294/hl2024.76,0,abstract
Dynamic Relationship Between Social Factors and Poverty: A Panel Data Analysis of 23 Selected Developing Countries,Journal of the Knowledge Economy,2024,10.1007/s13132-024-01843-x,5,abstract
Social Security Decisions: Should Recipients Opt for Early Payments?,Journal of Wealth Management,2023,10.3905/jwm.2023.1.196,0,abstract
Change in the Span of Working Life in India: An analysis by Decomposition,Indian Journal of Human Development,2023,10.1177/09737030231151520,0,abstract
Cost-Utility of Real-Time Continuous Glucose Monitoring versus Self-Monitoring of Blood Glucose in People with Insulin-Treated Type 2 Diabetes in Spain,ClinicoEconomics and Outcomes Research ,2024,10.2147/CEOR.S483459,6,INDEX_KW_ONLY
"A Cross-National Empirical Analysis of the Contribution of Fertility, Life Expectancy and Net Migration in Driving Contemporary and Future Population Ageing",Population and Economics,2024,10.3897/popecon.8.e118982,3,title
Public healthcare efficiency in India: Estimates and determinants using two stage DEA approach,Evaluation and Program Planning,2024,10.1016/j.evalprogplan.2024.102472,13,abstract
The Effect of Energy Consumption and Renewable Energy on Economic Growth in Indonesia,International Journal of Energy Economics and Policy,2023,10.32479/ijeep.13684,14,abstract
Economic growth in Latin America during the 19th century; [Crecimiento económico en América Latina durante el siglo xix],America Latina en la Historia Economica,2024,10.18232/20073496.1442,3,abstract
Time-series analysis of the health outcomes-financial development nexus: Evidence from South Africa,"International Journal of Applied Economics, Finance and Accounting",2024,10.33094/ijaefa.v18i1.1335,1,abstract
"Role of economic, and social parameters affecting life satisfaction and happiness during pre and post Covid era: a study with Marx’s perspective",Economic Research-Ekonomska Istrazivanja ,2023,10.1080/1331677X.2023.2166970,8,abstract
"Interlinkages between human development, residential energy consumption, and energy efficiency for the EU-27 Member States, 2010–2018",Regional Statistics,2023,10.15196/RS130102,17,abstract
The impact of the pharmaceutical industry on the innovation performance of European countries,Regional Statistics,2023,10.15196/RS130105,2,abstract
Financial planning time horizon and end-of-life mortality expectations,Financial Services Review,2023,10.61190/fsr.v31i2/3.3529,0,abstract
Valuation and Directions of Development of Human Capital in the Republic of Belarus; [Стоимостная оценка и направления развития человеческого капитала Республики Беларусь],Economy of Regions,2024,10.17059/ekon.reg.2024-1-10,0,abstract
Applying diffusion of innovation theory to examine providers’ perceptions of rural telehealth application and competencies,Rural Society,2023,10.1080/10371656.2023.2270852,11,abstract
"Physical exercise and cognition in older adults, a scientific approach scanty reported in Latin America and Caribbean populations",Frontiers in Sports and Active Living,2024,10.3389/fspor.2024.1368593,2,abstract
The Demographic Change in Transition; [Der demografische Wandel im Wandel],Wirtschaftsdienst,2024,10.2478/wd-2024-0072,1,abstract
TRADE LIBERALIZATION’S INFLUENCE ON HEALTH STATUS IN DEVELOPING ECONOMIES: THEORETICAL INSIGHTS AND REAL-WORLD IMPLICATIONS,Journal of Economic Development,2024,10.35866/caujed.2024.49.3.001,2,abstract
Pricing life settlements in the secondary market using fuzzy internal rate of return,Journal of Mathematics and Modeling in Finance,2022,10.22054/jmmf.2023.15186,5,author_kw
The Economic Cost of Rising Non-communicable Diseases in India: A Systematic Literature Review of Methods and Estimates,Applied Health Economics and Health Policy,2023,10.1007/s40258-023-00822-8,7,abstract
Determinants of labor productivity in the USA,Problems and Perspectives in Management,2023,10.21511/ppm.21(4).2023.54,7,abstract
The challenge of public health expenditure sustainability in Basque Country: Population aging and economic growth; [El reto del sostenimiento del gasto sanitario público en el País Vasco: Envejecimiento y crecimiento económico],Revista de Estudios Regionales,2022,,1,abstract
"Examining the Dynamics of Labour Force Participation, Carbon Dioxide Emission and Population Health in Sub-Saharan Africa",International Journal of Energy Economics and Policy,2023,10.32479/ijeep.14582,2,abstract
Social issues of aging: Immersive technology solutions,IEEE Potentials,2023,10.1109/MPOT.2023.3298141,1,abstract
Using Placemaking Methodologies to Transform Degraded Public Spaces into Places,Space and Culture,2023,10.1177/1206331220911360,6,abstract
Old-Age Labor Exit Rates and the Impact of Social Security Programs in Iran,Journal of Retirement,2024,10.3905/jor.2023.1.144,1,abstract
Evaluation of positive and negative impacts of mining on sustainable development by a semi-quantitative method,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.132955,57,abstract
ARCHITECTURAL DESIGNING THE NURSING HOMES IN TEHRAN CITY (AS A SAMPLE),Archives for Technical Sciences,2024,10.59456/afts.2024.1630.001M,8,author_kw
Examining the association between health status and subjective life expectancy among older Indian adults based on the mindsponge approach,Humanities and Social Sciences Communications,2022,10.1057/s41599-022-01368-1,11,title
Vaccination rates and COVID outcomes across U.S. states,Economics and Human Biology,2022,10.1016/j.ehb.2022.101201,16,INDEX_KW_ONLY
Age Identity and Elderly Job Participation in China,China Economist,2024,10.19602/j.chinaeconomist.2024.05.07,0,abstract
"Comparative analysis of labour markets in Ukraine, Armenia, Moldova, and Estonia: Institutional approach, 1995–2020",Regional Statistics,2023,10.15196/RS130107,4,abstract
THE EffECT of HumAn CApITAL on EConomIC GRowTH: EvIDEnCE fRom KAzAKH REGIonS1; [влияние человеческого капитала на экономический рост (на примере регионов казахстана)],Economy of Regions,2023,10.17059/ekon.reg.2023-2-7,2,author_kw
Is government spending in the education and health sector necessary for human capital development?,Humanities and Social Sciences Communications,2023,10.1057/s41599-023-01514-3,29,abstract
Exploring the Impact of ESG Practices on Sustainable Development Goals Achievement in South Asia,Review of Economics,2024,10.1515/roe-2024-0053,10,abstract
Covid-19 Mortality Shock: Demographic and Economic Losses in Moldova,Comparative Southeast European Studies,2024,10.1515/soeu-2023-0063,1,abstract
Personal insurance and open supplementary pension in Brazil: A study on mortality differentials by education level; [Seguros de pessoas e previdência complementar aberta no Brasil: Um estudo sobre os diferenciais de mortalidade por nível educacional],Revista Contabilidade e Financas,2024,10.1590/1808-057x20241961.en,1,abstract
Evolving life expectancy in Western countries; [L'évolution de l'espérance de vie dans les pays occidentaux],Futuribles: Analyse et Prospective,2022,,1,title
