Article Title,Source Title,Author Keywords,Abstract,relevance
Replicating intergenerational longevity risk sharing in collective defined contribution pension plans using financial markets,INSURANCE MATHEMATICS & ECONOMICS,Pension plans; Individual investment; Intergeneration risk-sharing; Longevity; collective defined contribution; defined benefits; defined contribution,"Intergenerational risk sharing is often seen as a strong point of the Dutch pension system. The ability to absorb financial and actuarial shocks through the funding ratio allows for the smoothing of returns over generations. Nevertheless, it implicitly means that generations subsidize each other, which has its disadvantages, especially in the light of incomplete contracts and situations of hard regulation constraints. This paper highlights the advantages of intergenerational risk sharing as a main characteristic in certain collective pension plans, investigating if and how much of this can be replicated by individual participation in the market. Using a stylized model based on different pension plans such as hard/soft defined benefit, collective/pure defined contribution, this paper identifies the effects of an increase in life-expectancy as one of the most important actual demographic shocks. The existence of regulatory constraints modifies agents' behavior so that they tend to choose individual investment to ensure their retirement savings. In the absence of regulatory constraints, individual investment under-performs and highly replicates pension fund performance. Thus, choosing collective participation is more rational. Moreover, as the effect of the shock is decomposed, a discussion of the absorption heterogeneity by different plans is presented. (C) 2017 Elsevier B.V. All rights reserved.",
Comparing Preferences for Disease Profiles: A Discrete Choice Experiment from a US Societal Perspective,APPLIED HEALTH ECONOMICS AND HEALTH POLICY,I1 Health; C1 Econometric and Statistical Methods and Methodology; General,"ObjectivesThere is increasing interest in expanding the elements of value to be considered when making health policy decisions. To help inform value frameworks, this study quantified preferences for disease attributes in a general public sample and examined which combination of attributes (disease profiles) are considered most important for research and treatment.MethodsA discrete choice experiment (DCE) was conducted in a US general population sample, recruited through online consumer panels. Respondents were asked to select one of a set of health conditions they believed to be most important, characterized by attributes defined by a previous qualitative study: onset age; cause of disease; life expectancy; caregiver requirement; symptom burden (characterized by the Health Utilities Index with varying levels of ambulation independence, dexterity limitations, and degree of pain and discomfort); and disease prevalence. A fractional factorial DCE design was implemented using R, and 60 choice sets were generated (separated into blocks of 10 per participant). Data were analyzed using a mixed-logit regression model, and results used to assess the likelihood of preferring disease profiles. Based on individual attribute preferences, overall preferences for disease profiles, including a profile aligned with Duchenne muscular dystrophy (DMD), were compared.ResultsFifty-two percent of respondents (n = 537) were female, and 70.6% were aged 18-54 years. Attributes considered most important were those related to life expectancy (odds ratio [OR], 95% confidence interval [CI] 1.88 [1.56-2.27] for a 50% reduction in remaining life expectancy vs no impact), and symptom burden (OR [95% CI] 1.84 [1.47-2.31] for severe vs mild burden). Greater importance was also found for pediatric onset, caregiver requirement, and diseases affecting more people. As an example of disease profile preferences, a DMD-like pediatric inherited disease with 50% reduction in life expectancy, extensive caregiver requirement, severe symptom burden, and 1:5000 prevalence had 2.37-fold higher odds of being selected as important versus an equivalent disease with adult onset and no life expectancy reduction.ConclusionsOf disease attributes included in this DCE, respondents valued higher prevalence of disease, life expectancy and symptom burden as most important for prioritizing research and treatment. Based on expressed attribute preferences, a case study of an inherited pediatric disease involving substantial reductions to length and quality of life and requiring caregiver support has relatively high odds of being identified as important compared to diseases reflecting differing attribute profiles. These findings can help inform expansions of value frameworks by identifying important attributes from the societal perspective.",
"Competition, Collaboration, and Life Satisfaction Part 1. The Seven of European Leaders",ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,happiness index; Nordic exceptionalism; U.S. lagging behind; collaboration; clustering; nearest neighbor method,"The first part of this paper demonstrates that a group of seven European countries is significantly ahead of other Western states, including the United States, in the development of economic and political institutions. The Seven are Denmark, Norway, Sweden, Finland, Iceland, Switzerland, and the Netherlands. They rank first in the life satisfaction index (happiness index) and are leaders in the integral index of quality of life, civic culture, and institutional effectiveness which is formed by aggregating ten most important indicators. These include healthy life expectancy at birth, the corruption perception index, the democracy index, the human development index, the Gini index and a number of others. When this index is used to cluster the set of developed countries, the Seven appears to be the leading cluster. This result suggests that the achievement of high values of the proposed index contributes to the country's advancement to the leading positions in life satisfaction. An analysis of the dynamics of institutional indicators showed that the U.S. lagging behind the Seven has been increasing over time. In recent years, the U.S. has been among the flawed democracies, the levels of generalized trust of U.S. citizens as well as trust in political institutions and in the government are decreasing, the U.S. advantages in terms of global competitiveness and per capita GDP are diminishing. The second part of the paper will consider what qualitative features of socio-economic and political mechanisms provide leadership, and how our findings can be used to develop catch-up strategies.",
Risk beliefs and smoking behavior,ECONOMIC INQUIRY,,"We analyze smoking risk beliefs and smoking behavior using individual data from 1997 for the United States and 1998 for Massachusetts. Smokers and adults more generally overestimate the lung cancer risks of smoking and the mortality risks and life expectancy loss. Higher risk beliefs decrease the probability of starting to smoke and increase the probability of quitting among those who begin. Better educated smokers have lower and more accurate risk beliefs, but education decreases the probability of smoking. Higher state cigarette taxes correlate with risk beliefs but not with smoking status. The uninsured are especially likely to remain current smokers.",
"Uncertain lifetime, fertility and social security",JOURNAL OF POPULATION ECONOMICS,fertility; uncertain lifetime; social security,"Investigating the effects of population aging on fertility and economic growth, we show that an increase in life expectancy lowers the fertility rate and raises life-cycle savings, and that a pay-as-you-go social security does not reverse the effect on fertility.",
Dependency Modeling Approach of Cause-Related Mortality and Longevity Risks: HIV/AIDS,RISKS,insurance; multivariate analysis; dependence modeling; copula; mortality,"Disaggregation of mortality by cause has advanced the development of life tables for life insurance and pension purposes. However, the assumption that the causes of death are independent is a challenge in reality. Furthermore, models that determine relationships among causes of death such as HIV/AIDS and their impact on mortality and longevity risks seem trivial or inflexible. To address these problems, we aim to determine and build an appropriate copula dependence model for HIV/AIDS against other causes of death in the presence of age, gender, and time. A bivariate copula model is proposed to capture the dependence structure of HIV/AIDS on life expectancy. This approach allows the fitting of flexible and interpretable bivariate copulas for a two-dimensional case. The dataset was derived from the World Health Organization database that constituted annualized death numbers, causes, age, gender, and years (2000 to 2019). Using Kendall's tau and Pearson linear coefficient values, the survival Joe copulas proved to be a suitable model. The contribution and implication of this research are the quantification of the impact of HIV/AIDS on a life table, and, thus, the establishment of an alternative to the subjective actuarial judgment approach.",
THE VALUE OF A CHILD BORN IN THE EUROPEAN UNION,ACTA OECONOMICA,human capital approach; economic model; value of life; newborn child,"The objective of this study is to quantify the value of a child born in 27 EU countries and Switzerland. The Human Capital (HC) approach was used to estimate the social benefit arising from an additional childbirth. The value of a newborn child was calculated by summing up the discounted value of all expected future gross earnings of the individual, including an imputed value for household production. The estimation takes into account life expectancy and the probability of being employed or in household production by age-groups. Input data was obtained from Eurostat and the Human Mortality Database. In 2012, the purchasing power parity adjusted present value (PV) of a newborn child was EUR 108.4 thousand in Bulgaria and EUR 803.6 thousand in Denmark. By applying the actual exchange rates, the difference between the lowest value (EUR 48.8 thousand in Bulgaria) and the highest value (EUR 1.1 million in Switzerland) was increased. The PV was highly sensitive to the discount rate. The fertility interventions are expected to gain popularities among other health priorities as a tool to counter generation ageing. However, in order to enhance fertility among other health priorities, policy-makers must take into account the full social value based on the local estimates.",
Russia: austerity and deficit reduction in historical and comparative perspective,CAMBRIDGE JOURNAL OF ECONOMICS,Downsizing the government; Institutional collapse; State capacity; Russia; E02; H11; H50; P35,"This paper looks at Russian experience with austerity programmes since the breakdown of the former Soviet Union in 1991. Downsizing of the state was one of the major elements in a reform package designed to transform the centrally planned economy into a market one (together with deregulation, privatisation, macroeconomic stabilisation and the opening up of the closed economy). This downsizing, however, proved to be the single most important reason for the collapse of state institutions, which in turn deepened the transformational recession, contributed to the dramatic rise of income inequalities, corruption and crime, and the decline in life expectancy. The story of the successes and failures of transition is not really the story of consistent shock therapy and inconsistent gradualism. The major plot of the postsocialist transformation 'novel' is the preservation of strong institutions in some countries (very different in other respects-from Central Europe and Estonia to China, Uzbekistan and Belarus) and the collapse of these institutions in other countries. At least 90% of this story is about government failure (the strength of state institutions) and not about market failure (liberalisation).",
Social Security System's Demographic Structure: Metamorphosis in Turkey Pension System,MALIYE DERGISI,social security; young retired; demography and pensions,"Social security has been one of the most fundamental human rights. Anyone could become in need on support in a part of their lifetime. Governmental support is the type of spending which could not be avoided. However financial shortages set a limit on this type of spending to providing services and create obstacles on financial retirement contributions. There are unwanted negative discrepancies on actuarial issues of Turkey in social security balance. Thus, rise in average life expectancy as well as increases in number of young retired population have compelled to create new rules and guidelines.",
Do Statins Reduce the Health and Health Care Costs of Obesity?,PHARMACOECONOMICS,,"Obesity impacts both individual health and, given its high prevalence, total health care spending. However, as medical technology evolves, health outcomes for a number of obesity-related illnesses improve. This article examines whether medical innovation can mitigate the adverse health and spending associated with obesity, using statins as a case study. Because of the relationship between obesity and hypercholesterolaemia, statins play an important role in the medical management of obese individuals and the prevention of costly obesity-related sequelae. Using well-recognized estimates of the health impact of statins and the Future Elderly Model (FEM)-an established dynamic microsimulation model of the health of Americans aged over 50 years-we estimate the changes in life expectancy, functional status and health care costs of obesity due to the introduction and widespread use of statins. Life expectancy gains of statins are estimated to be 5-6 % greater for obese individuals than for healthy-weight individuals, but most of these additional gains are associated with some level of disability. Considering both medical spending and the value of quality-adjusted life-years, statins do not significantly alter the costs of class 1 and 2 obesity (body mass index [BMI] a parts per thousand yen30 and a parts per thousand yen35 kg/m(2), respectively) and they increase the costs of class 3 obesity (BMI a parts per thousand yen40 kg/m(2)) by 1.2 %. Although statins are very effective medications for lowering the risk of obesity-associated illnesses, they do not significantly reduce the costs of obesity.",
Optimal Expectations and Limited Medical Testing: Evidence from Huntington Disease,AMERICAN ECONOMIC REVIEW,,"We use novel data to study genetic testing among individuals at risk for Huntington disease (HD), a hereditary disease with limited life expectancy. Although genetic testing is perfectly predictive and carries little economic cost, presymptomatic testing is rare. Testing rates increase with increases in ex ante risk of having HD. Untested individuals express optimistic beliefs about their health and make decisions (e. g., retirement) as if they do not have HD, even though individuals with confirmed HD behave differently. We suggest that these facts can be reconciled by an optimal expectations model (Brunnermeier and Parker 2005).",
The effect of marital status on life expectancy: Is cohabitation as protective as marriage?,JOURNAL OF DEMOGRAPHIC ECONOMICS,Cohabitation; health expenditure; life expectancies; longevity; marital status; mortality,"It is well-known that marital status is an important predictor for life expectancy. However, non-married individuals are often misclassified as singles which ignores the heterogeneity within the group. This paper shows the importance of distinguishing between types of singles, and in particular whether they are cohabiting, when predicting life expectancies. We use unique and detailed longitudinal register data to track marital status throughout the individual's lifetime. We find that all types of singles consistently benefit from living with a spouse, i.e., after divorce, becoming widower or being never married. This result holds for both men and women. For certain types of cohabiting singles we reject significant differences in life expectancy compared to married individuals. Finally, we use a case study to show that, like married individuals, all types of singles that cohabit also serve as informal caregivers and have the potential to limit the end-of-life long-term care expenditure levels.",
Does it pay to delay social security?*,JOURNAL OF PENSION ECONOMICS & FINANCE,actuarial fairness; annuities; Social Security,"Social Security benefits may be commenced at any time between ages 62 and 70. As individuals who claim later can, on average, expect to receive benefits for a shorter period, an actuarial adjustment is made to the monthly benefit to reflect the age at which benefits are claimed. We investigate the actuarial fairness of that adjustment in light of recent improvements in mortality and historically low interest rates. We show that delaying is actuarially advantageous for a large number of people, even for individuals with mortality rates that are twice the average. At real interest rates closer to their historical average, singles with mortality that is substantially greater than average do not benefit from delay, although primary earners with high mortality can still improve the present value of the household's benefits through delay. We also investigate the extent to which the actuarial advantage of delay has grown since the early 1960s, when the choice of when to claim first became available, and we decompose this growth into three effects: (1) the effect of changes in Social Security's rules, (2) the effect of changes in the real interest rate, and (3) the effect of changes in life expectancy. Finally, we quantify the extent to which the gains from delay can be expected to increase in the future as a result of mortality improvements.",
Would you prefer your retirement income to depend on your life expectancy?,JOURNAL OF ECONOMIC THEORY,Pensions; Longevity risk; Risk aversion; Recursive preferences,"We study the demand for retirement income of agents who gradually learn about their life expectancy. For a given expected budget, temporally risk-averse agents prefer that pension levels respond to incoming information about life expectancy rather than being fixed ex-ante. Indeed, this offers a hedging strategy that couples shorter lives with higher consumption levels, and longer lives with lower consumption levels. A calibrated life-cycle model provides an order of magnitude of the effects at play. (C) 2020 Elsevier Inc. All rights reserved.",
Demographic obstacles to European growth,EUROPEAN ECONOMIC REVIEW,Ageing; Growth; Life-cycle labor supply and savings; Fiscal policy; Political economy,"The growth rates of the four largest European economies - France, Germany, Italy, and the United Kingdom - have slowed in recent decades. The persistence of the slowdown suggests that a low-frequency structural change is at work. Longer life expectancy and declining fertility have led to gradually ageing populations. These demographic trends contribute to economic growth directly through aggregate savings and labor supply decisions and indirectly through distortionary taxes needed to fund pension systems. We provide a structural framework to quantify the demographic contributions to historical and future growth rates. Several reforms have been suggested to increase late-life labor supply and, through that, output growth. Our structural framework also gives a welfare measure to evaluate these proposed reforms. The welfare implications are heterogeneous across age, wealth, and income. Welfare heterogeneity offers some insights into the political economy of pension reforms and the opposition to their implementation despite the projected increase in aggregate output growth.",
Determinants of Improving the Financial Security of Retired Women in Malaysia,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,Capacity; Opportunity; Willingness; Biopsychosocial; Retirement,"The perspectives on aging women's financial security during their retirement years are based on their behavior, planning, and decision-making processes during their working years. Elderly women are considered vulnerable and have a longer life expectancy, lower-income, and limited financial understanding compared to males; therefore, drastic steps need to be taken to improve their financial stability and quality of life. The current study sought to determine the most important contributors to retired women's financial health by measuring the value of four factors/variables: capability, opportunity, willingness, and biopsychosocial. This study used a mixed model approach, with qualitative analysis in the first phase involving a focus group discussion session, a pilot analysis, and quantitative analysis for phase two involving the distribution and collection of questionnaires completed by retired women. The surveys were distributed across Malaysia in five distinct zones and yielded 339 usable replies to support the theory. The outcomes of the Multiple Regression Analysis in Malaysia revealed that capability, opportunity, and biopsychosocial factors are significant predictors of retired women's financial security, whereas the willingness indicator lacked statistical significance",
The Impact of ICT Goods Imports on Economic Growth: Evidence from Asia-Pacific Countries,JOURNAL OF KOREA TRADE,Asia-Pacific Countries; Economic Growth; HICs; ICT Goods Imports; LICs,"Purpose - This paper empirically investigates the relationship between Information and Communication Technology (ICT) goods imports and economic growth with a focus on the 13 Asia-Pacific economies during 2005-2016. In particular, this paper extends the study by breaking down the data of Asia-Pacific countries into High Income Countries (HICs) and Low Income Countries (LICs) according to the difference of income levels. Design/methodology - Our empirical model employs the standard growth model based on the Barro (1998)-type growth framework. Using static panel-data technique, we estimate the effect of ICT goods imports on economic growth in the 13 Asia-Pacific economies. In addition, we also estimate a difference of the ICT goods imports-economic growth link between HICs and LICs. Findings - The estimation results indicate that ICT goods import has a significant positive effect on economic growth, while ICT goods export has a positive but statistically insignificant effect on it. When we break down the panel data into HICs and LICs in order to gain further insight, ICT goods imports has been effective in spurring growth in only LICs but not in HICs. The other supplementary results show that both domestic investment (GCF) and life expectancy (LE) have a significantly positive impact on economic growth in both HICs and LICs. Originality/value - The main findings of the paper suggest that ICT goods imports has a positive effect on economic growth in only LICs but not in HICs. This result supports the so-called 'leapfrogging' hypothesis through ICT goods imports in the Asia-Pacific countries, in which LICs are gaining more from ICT goods imports than HICs.",
Economic reform and mortality in the former Soviet Union: A study of the suicide epidemic in the 1990s,EUROPEAN ECONOMIC REVIEW,suicide; mortality; transition economies,"Male suicide rates in Russia, Belarus, Ukraine and the Baltic countries increased substantially in the early 1990s and are now the highest in the world. To what extent is this suicide epidemic explained by the macroeconomic instability experienced by these countries in that period? Fixed effects regressions across 22 transition economies indicate that male suicide rates are highly sensitive to the state of the macroeconomy, suggesting that the steep and prolonged declines in GDP in the western countries of the former Soviet Union may have been partly to blame for the suicide epidemic. Evidence also indicates that the general adult male mortality crisis in the region had a 'feedback' effect on suicide rates, with the loss of a spouse or friend - or declining life expectancy itself - contributing to rising suicide rates. Female suicide rates, in contrast, are insensitive to the state of the macroeconomy and are more strongly related to alcohol consumption. (C) 2001 Elsevier Science B.V. All rights reserved.",
Channels through Which Human Capital Inequality Influences Economic Growth,JOURNAL OF HUMAN CAPITAL,,"This paper empirically investigates the theoretical predictions of some of the channels through which human capital inequality may discourage investment and growth. In a cross section of countries over the period 1960-2000, findings reveal that, all other things being equal, a greater degree of human capital inequality increases fertility rates and reduces life expectancy, which in turn hampers the accumulation rates of human capital. This effect is reinforced in the countries where individuals find it difficult to access credit. Extensive sensitivity analyses show that the results are robust across specifications and are not driven by atypical observations, endogenous regressors, or unobservable heterogeneity.",
Policies to stimulate growth: should we invest in health or education?,APPLIED ECONOMICS,,"Empirical studies in the literature on economic growth have focused on the affect of education and yet Knowles and Owen (1995, 1997) found health, proxied by life expectancy, to be highly statistically significant with education having a modest role. This study extends their model and employs variables that are more conducive to policy formulation: calorific intake and school enrolment ratios. Results suggest that reducing undernutrition would only make a modest contribution to economic growth while increasing enrolment ratios, especially secondary, has a positive and more significant effect. Policies to increase economic growth should favour investments in education over health.",
The Transitions of Aging,TRANSITIONS OF AGING,,,
TRANSITION AND MORTALITY IMPACT IN POST-COMMUNIST ROMANIA,TRANSFORMATIONS IN BUSINESS & ECONOMICS,mortality; economic growth; Romania,"The impact of economic conditions on mortality in a large transition economy is analysed using county level data (NUTS III) from post-communist Romania 1997-2014 and a fixed effects model. Overall mortality, circulatory diseases mortality, neoplasms mortality and external cause mortality move counter cyclically relative to economic growth. The long and severe transition impoverished a large share of the population and worsened public health. In the future, health will be even more sensitive to changes in economic conditions. Unemployment has little impact on mortality except for digestive diseases mortality. Health care availability, gender, education level, rural concentration and sector of employment significantly impact mortality rates. Policy measures should focus on the counter cyclical nature of mortality and specific population subgroups in Romania.",
Willingness to Pay for Clean Air: Evidence from Air Purifier Markets in China,JOURNAL OF POLITICAL ECONOMY,,"We develop a framework to estimate willingness to pay for clean air from defensive investments on differentiated products. Applying this framework to scanner data on air purifier sales in China, we find that a household is willing to pay $1.34 annually to remove 1 mu g/m(3) of air pollution (PM10) and $32.7 annually to eliminate the pollution induced by the Huai River heating policy. Substantial heterogeneity is explained by income and exposure to information on air pollution. Using these estimates, we evaluate various environmental policies and quantify the value of recent air quality improvements since China declared a war on pollution in 2014.",
The predictive validity of subjective probabilities of survival,ECONOMIC JOURNAL,,"Although expectations, or more precisely subjective probability distributions, play a prominent role in models of decision making under uncertainty, we have had very little data on them. Based on panel data from the Health and Retirement Study, we Study the evolution of subjective survival probabilities and their ability to predict actual mortality. In panel, respondents modify their survival probabilities in response to new information such as the onset of a new disease condition. Subjective survival probabilities predict actual survival: those who survived in the panel reported survival probabilities approximately 50% greater at baseline than those who died.",
Nonlinear and nonseparable structural functions in regression discontinuity designs with a continuous treatment,JOURNAL OF ECONOMETRICS,Causal inference; Continuous treatment; Dual monotonicity; Nonparametric identification; Semiparametric estimation; Asymptotic normality,"Many empirical examples of regression discontinuity (RD) designs concern a continuous treatment variable, but the theoretical aspects of such models are less studied. This study examines the identification and estimation of the structural function in fuzzy RD designs with a continuous treatment variable. The structural function fully describes the causal impact of the treatment on the outcome. We show that the nonlinear and nonseparable structural function can be nonparametrically identified at the RD cutoff under shape restrictions, including monotonicity and smoothness conditions. Based on the nonparametric identification equation, we propose a three-step semiparametric estimation procedure and establish the asymptotic normality of the estimator. The semiparametric estimator achieves the same convergence rate as in the case of a binary treatment variable. As an application of the method, we estimate the causal effect of sleep time on health status by using the discontinuity in natural light timing at time zone boundaries.",
