Article Title,Source Title,Author Keywords,Abstract,relevance
"Smoking, Expectations, and Health: A Dynamic Stochastic Model of Lifetime Smoking Behavior",JOURNAL OF POLITICAL ECONOMY,,"I estimate a dynamic, stochastic model of smoking, expectations, and health that makes explicit channels through which an individual may learn about the health risks of smoking. Simulations of the structural model suggest that cardiovascular biomarker information at repeated health exams does not significantly alter smoking behavior because (a) signals of biomarker health are noisy within individuals, (b) the influence of biomarkers on major health outcomes is small, and (c) cigarette smoking is addictive. This paper also presents evidence of selection in smoking that, when not modeled, may cause an overstatement of the effect of smoking on expected longevity.",
Pension systems revisited in the age of automation and an aging economy,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,Overlapping generations; Pension system; Automation; Demographic change; Robot taxes,"This study analyzes the impact of aging - an increase in longevity or a decrease in fertility rates - on pension benefits in an economy that incorporates automation capital in the production process. Across all three pension schemes-pay as you go, fully funded, and modified fully funded, we observe that the impact of increasing longevity is more pronounced than that of a decreasing fertility rate. Specifically, our analyses indicate that while increasing longevity consistently has a negative impact on pension benefits under all pension schemes, the impact of a decreasing fertility rate varies according to the pension scheme. Additionally, based on the common observation across all pension schemes that low-skilled households are vulnerable to the impacts of aging, we explore redistributive policies to improve the welfare of these households, and our findings indicate that the policy that leads to Pareto improvement can vary depending on the main driver of demographic transitions.",
Social groups and social network formation,GAMES AND ECONOMIC BEHAVIOR,Social groups; Dynamic network formation; Social networks; Homophily,"We present a dynamic model of social network formation in which a fixed number of agents interact in overlapping social groups. We derive several results on the formation of links in such networks, including results on the degree distribution, on comparative statics relating degree and group size, and on the dynamics of homophily. In particular, we derive comparative statics showing that degree is typically positively related to social group size but negatively related to the size of the overlap across multiple social groups. This is supported by evidence from a Facebook dataset. We also show that homophily over an agent's lifespan in the network can be non-monotonic, reaching a global maximum in some period before eventually decreasing. (C) 2015 Elsevier Inc. All rights reserved.",
A forestry-based PES mechanism for enhancing the sustainability of Chilika Lake through reduced siltation loading,FOREST POLICY AND ECONOMICS,Community afforestation; Chilika Lake; Lake siltation; Catchment area degradation; Payment for ecosystem services; Soil erosion,"Lakes provide significant ecological and economic benefits to society. However, they are prone to over-exploitation and degradation. In this paper, we address the challenge of protecting Chilika Lake in India from heavy siltation caused by land degradation in its catchment areas. Community led afforestation is explored as a management tool for reducing soil erosion and improving fish yields in the lake. Optimal afforestation by a forestry-dependent community is compared to that from the perspective of a manager who maximizes the joint utility of the forestry and fishery-based communities. Additionally, a payment for ecosystem services (PES) mechanism is designed, which pays the forest community on the basis of reduced siltation loading in the lake while also allowing it to benefit from fuel wood harvesting in the newly restored forests. Through relating the impact of fuel wood harvesting by the forestry-based communities on fish yields of the fishing community, a dynamic optimization model evaluates the various trade-offs between environmental services provided by the forest and lake ecosystems. Findings indicate that paying the forestry-based communities for restoration can help improve the lake's lifespan in absence of other interventions. Increasing afforestation levels in the lake's catchment region to 1000 km(2) can result in additional fish yield of half a million tonnes over the next hundred years, generating more than a billion dollars in revenues for the fishing communities.",
Standing the test of time. Does firm performance improve with age? An analysis of the wine industry,BUSINESS HISTORY,firm survival; firm age; firm performance; financial leverage; longevity; wine industry; profitability,"Currently, few studies have investigated how longevity affects economic and financial performance. These studies have generally approached the issue according to theoretical perspectives; thus, even fewer empirical studies exist. The present work aims to fill this gap by empirically verifying whether longevity is a variable that can determine firm performance. Our main hypotheses are tested on a large sample of Italian wineries by applying a panel model with time fixed effects on firm performance measured from 2008 to 2011. Our main findings highlight that the oldest wineries outperform the youngest wineries and that the longevity factor can significantly explain the difference in performance. We also discuss some practical implications of our study and intriguing directions for future research.",
"Achieving ambidexterity in large, complex engineering projects: a case study of the Sutong Bridge project",CONSTRUCTION MANAGEMENT AND ECONOMICS,Ambidexterity; exploitation; exploration; innovation; uncertainty,"Complex engineering projects typically face unique challenges that demand both exploring innovative solutions and exploiting existing capabilities. However, it is difficult to manage both exploitation and exploration in the same organizational unit owing to the different organizational support required for each. The solutions to managing the tension involve separating the two approaches into separate organizational units-structural separation, or separating by time-temporal separation, or by creating an organizational context that empowers employees to pursue both. Structural separation may not work because of the predominant need for integration at project level due to the fragmented nature of the construction industry and the co-location of project team. Instead, temporal separation could be an effective mechanism of separation. Creating the appropriate project context could facilitate project ambidexterity. Extant studies on ambidexterity focus on the organizational level which may not apply at project level. This study examines the effects of the above three antecedents to project ambidexterity. The key findings are that ambidexterity can be achieved during the limited lifespan of a complex engineering project through: (1) partitioning the two approaches in different project phases and then integrating the two; (2) implementing policies and financial support aiming at facilitating contextual ambidexterity both at and above project level.",
The multigenerational impacts of educational expansion: Evidence from Vietnam,LABOUR ECONOMICS,Primary school expansion; Intergenerational spillovers; Human capital investments; Child labor; Old age health; Vietnam,"We investigate the multigenerational effects of a primary school expansion program in Vietnam. In the directly affected generation , the expansion increases educational attainment, literacy, non-agricultural economic activity, earnings and the intergenerational educational mobility. It increases human capital investments in the children of the directly affected generation, with increased educational expenditures, school enrollment, and health in-vestments, and a reduction in child labor. Moreover, the expansion improves health in old age of the parents of the directly affected generation, an effect that seems to operate through increased financial resources, access to private health insurance and reduced alcohol consumption.",
Pricing and hedging GLWB in the Heston and in the Black-Scholes with stochastic interest rate models,INSURANCE MATHEMATICS & ECONOMICS,Variable annuities; GLWB pricing; Stochastic volatility; Stochastic interest rate; Optimal withdrawal,"Valuing Guaranteed Lifelong Withdrawal Benefit (GLWB) has attracted significant attention from both the academic field and real world financial markets. As remarked by Forsyth and Vetzal (2014) the Black and Scholes framework seems to be inappropriate for such a long maturity products. They propose to use a regime switching model. Alternatively, we propose here to use a stochastic volatility model (Heston model) and a Black-Scholes model with stochastic interest rate (Hull-White model). For this purpose we present four numerical methods for pricing GLWB variables annuities: a hybrid tree-finite difference method and a Hybrid Monte Carlo method, an ADI finite difference scheme, and a Standard Monte Carlo method. These methods are used to determine the no-arbitrage fee for the most popular versions of the GLWB contract, and to calculate the Greeks used in hedging. Both constant withdrawal and optimal withdrawal (including lapsation) strategies are considered. Numerical results are presented which demonstrate the sensitivity of the no-arbitrage fee to economic, contractual and longevity assumptions. (C) 2016 Elsevier B.V. All rights reserved.",
Fewer babies and more robots: economic growth in a new era of demographic and technological changes,SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION,Population ageing; Technological progress; Innovation; Automation; Economic growth,"This paper surveys recent research on the macroeconomic implications of demographic and technological changes. Lower fertility and increasing longevity have implications on the age population structure and, therefore, on the balance between savings and investment. Jointly with meagre productivity growth, this implies a low natural rate of interest that conditions the effectiveness of monetary and fiscal policies, especially in a world of high debt. New technological changes (robots, artificial intelligence, automation) may increase productivity growth but at the risk of having disruptive effects on employment and wages. The survey highlights the main mechanism by which demographic and technological changes, considered both individually and in conjunction, affect per capita growth and other macroeconomic variables.",
Evaluation of the Kou-Modified Lee-Carter Model in Mortality Forecasting: Evidence from French Male Mortality Data,RISKS,stochastic mortality modelling; forecasting; Age-Period-Cohort model; Cairns-Blake-Dowd model; Lee-Carter model; Kou model; Jump Diffusion model,"Mortality forecasting has always been a target of study by academics and practitioners. Since the introduction and rising significance of securitization of risk in mortality and longevity, more in-depth studies regarding mortality have been carried out to enable the fair pricing of such derivatives. In this article, a comparative analysis is performed on the mortality forecasting accuracy of four mortality models. The methodology employs the Age-Period-Cohort model, the Cairns-Blake-Dowd model, the classical Lee-Carter model and the Kou-Modified Lee-Carter model. The Kou-Modified Lee-Carter model combines the classical Lee-Carter with the Double Exponential Jump Diffusion model. This paper is the first study to employ the Kou model to forecast French mortality data. The dataset comprises death data of French males from age 0 to age 90, available for the years 1900-2015. The paper differentiates between two periods: the 1900-1960 period where extreme mortality events occurred for French males and the 1961-2015 period where no significant jump is observed. The Kou-modified Lee-Carter model turns out to give the best mortality forecasts based on the RMSE, MAE, MPE and MAPE metrics for the period 1900-1960 during which the two World Wars occurred. This confirms that the consideration of jumps and leptokurtic features conveys important information for mortality forecasting.",
Vinyl record: a cultural icon,CONSUMPTION MARKETS & CULTURE,Vinyl record; iconicity; music; materiality; aura; heritage; entanglement; marketplace icon,"In this paper, we use the case of the vinyl record to show that iconic objects become meaningful via a dual process. First, they offer immersive engagements which structure user interpretations through various material experiences of handling, use, and extension. Second, they always work via entanglements with related material ecologies such as turntables, speakers, mixers, and rituals of object care. Additionally, these engagements are complimented by a mediation process which emplaces the vinyl historically, culturally, spatially, and also politically, especially in the context of digitalization. This relational process means that both the material affordances and entanglements of vinyl allow us to feel, handle, experience, project, and share its iconicity. The materially mediated meanings of vinyl enabled it to retain currency in independent and collector's markets and thus resist the planned obsolescence and eventually attain the status of celebrity commodity with totemic power in music communities. This performative aspect of vinyl markets also means that consumers read closely the signals and symbols regarding vinyl's status, as its various user groups and champions try to interpret its future, protect, or challenge its current position. Vinyl's future, and the larger expansion of pressing plants and innovative turntable production around it, largely depend on processes of cultural and status mobility. In the current phase of market expansion, vinyl's status might be challenged by its own success. Neither a fashion cycle phenomenon, nor simple market conditions explain vinyl's longevity. Rather, cultural contextualization of vinyl as thing and commodity is crucial for avoiding symbolic pollution and retaining sacred aura.",
Subjective Age at Work: Feeling Younger or Older Than One's Actual Age Predicts Perceived Control and Motivation at Work,WORK AGING AND RETIREMENT,,"Using a life-span theoretical perspective, the present study examined how subjective age relates to perceived control and motivational investment in the work domain. Data from the Midlife in the United States National Study of Health and Well-Being (MIDUS I, II, and III; 1995-2013; n = 2,395) were analyzed using parallel process growth curve modeling. Our analyses used a mediation framework and focused on how changes in subjective age relate to changes in work-specific perceived control and motivational investment over time. Results suggested that feeling progressively younger than one's actual age predicted increased levels of perceived control over and motivational investment in one's work situation, as mediated by domain-general perceived control capacity and selective primary control striving, respectively. Results are discussed within the motivational theory of life-span development, specifically, how subjective age operates as a secondary control strategy that enhances or diminishes motivational investment and perceived control in work during midlife.",
Benchmarking road safety success: Issues to consider,AUSTRALASIAN MARKETING JOURNAL,Social marketing; Road safety; Road safety success; Competitive benchmarks; Policy,"Success in social marketing is rarely clear cut and even more rarely believed to have been achieved. Social marketing practitioners are under increasing scrutiny to benchmark efficiencies of social change programs to achieve 'success' outcomes. Using road safety as a case study, this paper addresses the complex nature of success within a social marketing context. First, we discuss the conundrum facing road safety in articulating 'success' when at policy level success is quantified objectively, yet at a community level perceptions of system failure are equated with individual death. Methodologically we apply comparative empirical approaches to examine perceptual versus objective road safety outcomes. The paper concludes with a discussion and proposal of alternate strategies for measuring programmatic success, and raise issues concerning the longevity of developing competitive and sustainable benchmarks. (C) 2009 Australian and New Zealand Marketing Academy. All rights reserved.",
Retirement planning in the light of changing demographics,ECONOMIC MODELLING,Superannuation; Stochastic simulation; Contribution,"With increasing longevity and decreasing fertility rates, governments and policy makers are increasingly engaged in the question of long term retirement planning. In many cases this has included emphasising the need for individuals to take more responsibility for their own retirement planning through tax incentives, compulsion and changes to the age at which state retirement benefits become available. In the case of Australia, as is considered here, long term retirement planning has been focused around the development of a compulsory defined contribution (DC) superannuation system. Here we investigate the interaction between population ageing and the sustainability of the superannuation system by modelling a general superannuation scheme to compare the adequacy of retirement funds under a number of alternative scenarios. The model incorporates stochastic longevity forecasts and provides insight into the sufficiency of compulsory retirement saving both now and future. We find that the current pension scheme is more robust to longevity improvements for mid-class individuals however significant gaps arise for low-income individuals as longevity improves. Without addressing these issues, government expenditure is expected to increase substantially. (C) 2015 Elsevier B.V. All rights reserved.",
THE MARGINAL WILLINGNESS TO PAY FOR LONGEVITY: A BETTER WAY TO VALUE CHANGES IN MORTALITY HAZARD,"RESEARCH IN LAW AND ECONOMICS, VOL 23",,"One of the most contentious issues concerning benefit-cost analyses of environmental and other regulatory programs has been the valuation of reductions in mortality risks. The conceptual basis for most valuation exercises has been the value of a statistical life (VSL). However, despite decades of both theoretical and empirical research on the meaning and measurement of the VSL concept, there is no consensus concerning the validity of the results it produces in actual applications. In this paper, we review the development and application of the VSL approach and then propose what we believe to be a better way to value changes in mortality hazard.",
"CLIMATE CHANGE, REGIONAL GENERAL BUDGET EXPENDITURES, AND CONCENTRATION OF THE ELDERLY POPULATION",TRANSFORMATIONS IN BUSINESS & ECONOMICS,climate change; agglomeration of older populations; regional budget expenditure,"The concentration of the elderly population is not only a result of increased longevity but also a result of population mobility. Climate has an impact on both factors. To analyse how climate change affects the agglomeration of the elderly population, the impact of climate change on the agglomeration of the elderly population was explored, and the threshold test and mediating effects were further examined by utilising the 2007-2019 panel data at the provincial level of China, based on push-pull theory and elderly migration theory. Results show that, all three measures of climate-temperature, precipitation, and hours of sunshine-significantly affect the degree of elderly population agglomeration, in which elevated temperature promotes the agglomeration of the elderly population, while both precipitation and hours of sunshine inhibit the agglomeration of the elderly population. These effects are actually because climate change changes the general budget expenditure of the regional finance, and then acts on the agglomeration of the elderly population in the region. In addition, there is a single threshold for the effect of temperature and sunshine hours on the concentration of the elderly population, and the threshold effect test of precipitation is not significant. The conclusions obtained from this study are conducive to enriching and improving the theory of elderly population agglomeration, as well as providing countermeasure suggestions for the government, enterprises, and individuals.",
THE VALUATION AND REDISTRIBUTION EFFECT OF THE KOREA NATIONAL PENSION,HITOTSUBASHI JOURNAL OF ECONOMICS,Korea National Pension; redistribution; annuity evaluation; annuity equivalent wealth; money's worth ratio; bequest,"This paper evaluates the Korea National Pension (KNP) and investigates its redistribution effects. The educational level is used as a proxy for mortality and various socioeconomic factors are considered. The financial and utility-based analyses reveal strong progressive redistribution with income level. Also, the utility-based analysis indicates significant progressive redistribution with non-pension asset level but no significant redistribution with the educational level. Generally, the KNP is extremely valuable and its value seems higher with a pre-existing private annuity especially for the poor. Finally, when people are assumed to spend at least the minimum consumption level, it becomes more beneficial.",
Temporal pacing in task forces: Group development or deadline pressure,JOURNAL OF MANAGEMENT,,"Research on the punctuated equilibrium model of group development confounded group life span with member task completion. We report two studies that separate task pacing from life span development. In one, 50 students simultaneously performed group and individual projects. In the second, student groups worked on two tasks sequentially. Results indicate that the temporal patter, postulated in the punctuated equilibrium model reflects task pacing under a deadline, rather than the process of group development.",
Do Smokers Value Their Health and Longevity Less?,JOURNAL OF LAW & ECONOMICS,,"One reason why individuals consume harmful addictive goods is that the full price of such goods is low. Using data on adults specifically collected for this study, we examine the internal cost of one such good by estimating the value that smokers and nonsmokers place on loss of health and longevity from a major lung disease, chronic obstructive pulmonary disease ( COPD). Differences in the nonpecuniary internal cost of getting COPD between current smokers and people who have never smoked range from $80,000 to $260,000, implying that one reason people continue to smoke is that they face a lower full price of smoking. Our results suggest that although taxation and regulation of cigarettes may be justified for externality reasons, the principle of consumer sovereignty implies that the case is much weaker for interventions based on helping smokers internalize costs they impose on themselves.",
The Challenges of SME Business Transfers: The Evidence from Croatia and Finland,ORGANIZACIJA,SMEs; business transfer; business transfer ecosystem,"Background and Purpose: In the life cycle of a firm, business transfer represents the critical stage of development. Underestimating the complexity and longevity of this process can have negative implications for firms, their owners and wide network of stakeholders. The aim of this paper is to compare the attitude towards business transfer of entrepreneurs aged 55 and more in Croatia and Finland and provide policy recommendations for improvement of the national business transfer ecosystems. Methodology/Approach: Both surveys targeted entrepreneurs aged 55 and more using the same questionnaire, with some adjustments to Croatian business transfer ecosystem. Finish barometer was conducted through web-based survey among members of Federation of Finnish Enterprises. Survey in Croatia was conducted with combination of CATI and CAWI collection method by a professional data collection agency. Data collected was compared based on a demographic criterion, industry background, experience in business transfer, expected future of the company, support needed and biggest challenges. Results: The research results indicated a growing number of entrepreneurs in Croatia who will be interested in selling their firm once they withdraw from the business and less than expected family business successions. In Finland the most important challenges are related to business valuation and finding a successor or a buyer. Conclusion: For further development of business transfer ecosystem in Croatia it is recommended to focus on awareness raising activities, channels for matching sellers and buyers, promotion of takeover entrepreneurship and consultancy support for micro enterprises. In Finland results indicate the importance of investing continuous efforts in raising the effectiveness of the measures implemented.",
"Self-financing trading strategies for sliding, rolling-horizon, and consol bonds",MATHEMATICAL FINANCE,discount bond; sliding bond; rolling-horizon bond; consol bond; term structure model,"The time evolution of a sliding bond is studied in discrete- and continuous-time setups. By definition, a sliding bond represents the price process of a discount bond with a fixed time to maturity. Examples of measure-valued trading strategies (introduced by Bjork et al. 1997a, 1997b) which are based on the price process of a sliding bond are discussed. In particular, a self-financing strategy that involves holding at any time one unit of a sliding bond is examined (the wealth process of this strategy is referred to as the rolling-horizon bond). In contrast to the sliding bond, which does not represent a tradable security, the rolling-horizon bond (or the rolling-consol bond) may play the role of a fixed-income security with infinite lifespan in portfolio management problems.",
"Asset allocation, sustainable withdrawal, longevity risk and non-exponential discounting",INSURANCE MATHEMATICS & ECONOMICS,Hyperbolic discounting; Time-inconsistent optimization problem; Non-local HJB equation; Equilibrium strategies; PDE,"The present paper studies an optimal withdrawal and investment problem for a retiree who is interested in sustaining her retirement consumption above a pre-specified minimum consumption level. Apparently, the withdrawal and investment policy depends substantially on the retiree's health condition and her time preferences (subjective discount factor). We assume that the health of the retiree can worsen or improve in an unpredictable way over her lifetime and model the retiree's mortality intensity by a stochastic process. In order to make the decision about the consumption and investment policy more realistic, we assume that the retiree applies a non-exponential discount factor (an exponential discount factor with a small amount of hyperbolic discounting) to value her future income. In other words, we consider an optimization problem by combining four important aspects: asset allocation, sustainable withdrawal, longevity risk and non-exponential discounting. Due to the non-exponential discount factor, we have to solve a time-inconsistent optimization problem. We derive a non-local HJB equation which characterizes the equilibrium optimal investment and consumption strategy. We establish the first-order expansions of the equilibrium value function and the equilibrium strategies by applying expansion techniques. The expansion is performed on the parameter controlling the degree of discounting in the hyperbolic discounting that is added to the exponential discount factors. The first-order equilibrium investment and consumption strategies can be calculated in a feasible way by solving PDEs. (C) 2016 Elsevier B.V. All rights reserved.",
"Learning From Levi-Strauss' Legacy: Art, Craft, Engineering, Bricolage, and Brokerage in Entrepreneurship",ENTREPRENEURSHIP THEORY AND PRACTICE,,"Given the increasing attention to traditionally less rational entrepreneurial behaviors, such as bricolage, we used grounded theory techniques to study 23 diverse entrepreneurs. From this, we developed a five-category typology of entrepreneurial behavior that includes art, craft, engineering, bricolage, and brokerage. Themes such as self-perceived identity, organization of space, integration of materials, sense of personal limits, and responsiveness to changing market conditions were observed along categorical lines. We discuss the significance of the typology and each category's associations with venture longevity and financial performance for practitioners and for the study of entrepreneurship.",
